School Name,School ID,School Network
Great Lakes Academy Charter School,400168,Charter
Edward Coles Elementary Language Academy,609862,Network 12
Skinner North,610534,Network 4
Mary E McDowell Elementary School,610312,ISP
Sidney Sawyer Elementary School,610157,Network 8
Peter A Reinberg Elementary School,610145,Network 1
Jackie Robinson Elementary School,610256,Network 9
Mancel Talcott Elementary School,610197,ISP
George Washington High School,609739,Network 17
L.E.A.R.N. - Middle School Campus,400165,Charter
YCCS-West HS,400144,Options
Charles S Brownell Elementary School,609813,Network 12
Ambrose Plamondon Elementary School,610131,Network 5
Roberto Clemente Community Academy High School,609759,Network 15
James Monroe Elementary School,610074,Network 4
Frazier Preparatory Academy Charter School,400040,Charter
Columbia Explorers Elementary Academy,610170,ISP
Pathways in Education- Avondale,610568,Options
Thomas Chalmers Specialty Elementary School,609851,AUSL
Camelot Excel - Southshore HS,400175,Options
Socorro Sandoval Elementary School,610226,Network 8
Ruben Salazar Elementary Bilingual Center,610250,ISP
Amos Alonzo Stagg Elementary School,610339,AUSL
Francis M McKay Elementary School,610067,Network 10
Edward N Hurley Elementary School,610006,Network 10
John Hancock College Preparatory High School,609694,Network 15
John J Audubon Elementary School,609782,Network 4
KIPP Chicago Charter School - KIPP Bloom,400163,Charter
Lionel Hampton Fine & Performing Arts ES,609807,Network 10
William E Dever Elementary School,609884,Network 1
John H Vanderpoel Elementary Magnet School,610207,Network 10
Johnnie Colemon Elementary Academy,610199,Network 13
Chicago High School for Agricultural Sciences,609753,ISP
Pulaski International School of Chicago,610138,Network 6
Michael Faraday Elementary School,610055,Network 5
Friedrich L. Jahn Elementary of the Fine Arts,610010,Network 4
George Leland Elementary School,610305,Network 3
Andrew Carnegie Elementary School,609837,ISP
Foundations College Preparatory Charter School,400171,Charter
Ole A Thorp Elementary Scholastic Academy,610201,ISP
Arthur A Libby Elementary School,610037,Network 11
George Armstrong International Studies ES,609779,ISP
Brighton Park Elementary School,610317,Network 8
Frederick Stock Elementary School,610163,Network 1
Mark Twain Elementary School,610206,Network 10
Mary Gage Peterson Elementary School,610127,Network 1
Thomas A Hendricks Elementary Community Academy,609987,Network 9
Marine Leadership Academy at Ames,609780,ISP
Mount Vernon Elementary School,610086,Network 13
Alex Haley Elementary Academy,609808,Network 13
