School Name,School ID,School Network
Newton Bateman Elementary School,609792,Network 1
Walter Henri Dyett High School for the Arts,610587,Network 17
Michael M Byrne Elementary School,609832,Network 10
Charles S Deneen Elementary School,609883,AUSL
John Spry Elementary Community School,610184,Network 7
Telpochcalli Elementary School,609921,Network 7
Franz Peter Schubert Elementary School,610165,Network 3
John Marshall Metropolitan High School,609723,Network 15
Charles P Steinmetz College Preparatory HS,609732,Network 14
CICS - Avalon/South Shore,400023,Charter
Gwendolyn Brooks College Preparatory Academy HS,609726,Network 17
Hanson Park Elementary School,610068,Network 3
Nathan S Davis Elementary School,609876,Network 8
Wildwood IB World Magnet School,610230,Network 1
Charles P Caldwell Academy of Math & Science ES,609833,ISP
Infinity Math Science and Technology High School,610384,ISP
Scott Joplin Elementary School,609805,Network 11
DeWitt Clinton Elementary School,609859,Network 2
Noble - Rowe-Clark Math and Science Academy,400056,Charter
Louisa May Alcott College Preparatory ES,609774,Network 4
Ombudsman Chicago- Northwest,610569,Options
Lillian R. Nicholson STEM Academy,609793,Network 11
John Harvard Elementary School of Excellence,609971,AUSL
Perkins Bass Elementary School,609791,Network 11
Ferdinand Peck Elementary School,610120,ISP
Noble - Golder College Prep,400053,Charter
Louis A Agassiz Elementary School,609773,ISP
William E B Dubois Elementary School,610364,Network 13
Ombudsman Chicago- West,610571,Options
YCCS-Chatham AcademyHS,400150,Options
Ida B Wells Preparatory Elementary Academy,610110,Network 9
Perspectives - Math and Science Academy,400066,Charter
Lyman A Budlong Elementary School,609817,ISP
Daniel S Wentworth Elementary School,610223,Network 11
James B Farnsworth Elementary School,609912,Network 1
Oliver Wendell Holmes Elementary School,609997,Network 11
Intrinsic Charter School,400162,Charter
Elizabeth H Sutherland Elementary School,610195,Network 10
Camelot Safe HS,610573,Options
Countee Cullen Elementary School,610004,Network 13
Acero Charter Schools - SPC Daniel Zizumbo,400079,Charter
Woodlawn Community Elementary School,609977,Network 9
Dr Jorge Prieto Math and Science,610533,Network 3
Richard Henry Lee Elementary School,610291,ISP
Neal F Simeon Career Academy High School,609692,Network 17
KIPP Ascend Charter School,400044,Charter
Wendell E Green Elementary School,610032,Network 11
Thomas A Edison Regional Gifted Center ES,609794,Network 1
Park Manor Elementary School,610115,Network 12
Pablo Casals Elementary School,610021,AUSL
